Archive ID,Title,Volume,Image Count,SI Libraries URL,BHL URL,Internet Archive URL
annualreportofbo1932smit,Annual report of the Board of Regents of the Smithsonian Institution,1932,588,https://library.si.edu/digital-library/book/annualreportofbo1932smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1932smit,https://archive.org/details/annualreportofbo1932smit
smithsonianyeara1984smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1984,712,https://library.si.edu/digital-library/book/smithsonianyeara1984smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1984smit,https://archive.org/details/smithsonianyeara1984smit
annualreportofbo1898smit,Annual report of the Board of Regents of the Smithsonian Institution,1898 [Includes Report USNM],1402,https://library.si.edu/digital-library/book/annualreportofbo1898smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1898smit,https://archive.org/details/annualreportofbo1898smit
annualreportofbo1889smith,Annual report of the Board of Regents of the Smithsonian Institution,1889 [Includes Report USNM],1246,https://library.si.edu/digital-library/book/annualreportofbo1889smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1889smith,https://archive.org/details/annualreportofbo1889smith
nationalmuseumof00yoch,The National Museum of Natural History : 75 years in the Natural History Building,,230,https://library.si.edu/digital-library/book/nationalmuseumof00yoch,http://www.biodiversitylibrary.org/ia/nationalmuseumof00yoch,https://archive.org/details/nationalmuseumof00yoch
annualreportofb1896smit,Annual report of the Board of Regents of the Smithsonian Institution,1896,934,https://library.si.edu/digital-library/book/annualreportofb1896smit,http://www.biodiversitylibrary.org/ia/annualreportofb1896smit,https://archive.org/details/annualreportofb1896smit
annualreportofbo1904smith,Annual report of the Board of Regents of the Smithsonian Institution,1904 [Includes Report USNM],948,https://library.si.edu/digital-library/book/annualreportofbo1904smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1904smith,https://archive.org/details/annualreportofbo1904smith
statementbysecre1982smit,Statement by the Secretary,1982,82,https://library.si.edu/digital-library/book/statementbysecre1982smit,http://www.biodiversitylibrary.org/ia/statementbysecre1982smit,https://archive.org/details/statementbysecre1982smit
annualreportofbo1960smit,Annual report of the Board of Regents of the Smithsonian Institution,1960,738,https://library.si.edu/digital-library/book/annualreportofbo1960smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1960smit,https://archive.org/details/annualreportofbo1960smit
annualreportofbo1884smit,Annual report of the Board of Regents of the Smithsonian Institution,1884,960,https://library.si.edu/digital-library/book/annualreportofbo1884smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1884smit,https://archive.org/details/annualreportofbo1884smit
annualreportofbo1906smit,Annual report of the Board of Regents of the Smithsonian Institution,1906 [Includes Report USNM],141,https://library.si.edu/digital-library/book/annualreportofbo1906smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1906smit,https://archive.org/details/annualreportofbo1906smit
annualreportofbo1948smit,Annual report of the Board of Regents of the Smithsonian Institution,1948,598,https://library.si.edu/digital-library/book/annualreportofbo1948smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1948smit,https://archive.org/details/annualreportofbo1948smit
annualreportofbo1951smit,Annual report of the Board of Regents of the Smithsonian Institution,1951,546,https://library.si.edu/digital-library/book/annualreportofbo1951smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1951smit,https://archive.org/details/annualreportofbo1951smit
smithsonianyeara1979smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1979,608,https://library.si.edu/digital-library/book/smithsonianyeara1979smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1979smit,https://archive.org/details/smithsonianyeara1979smit
annualreportofbo1865smit,Annual report of the Board of Regents of the Smithsonian Institution,1865,514,https://library.si.edu/digital-library/book/annualreportofbo1865smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1865smit,https://archive.org/details/annualreportofbo1865smit
annualreportofbo1901smithso,Annual report of the Board of Regents of the Smithsonian Institution,1901 [Includes Report USNM],910,https://library.si.edu/digital-library/book/annualreportofbo1901smithso,http://www.biodiversitylibrary.org/ia/annualreportofbo1901smithso,https://archive.org/details/annualreportofbo1901smithso
smithsonianyeara1981smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1981,608,https://library.si.edu/digital-library/book/smithsonianyeara1981smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1981smit,https://archive.org/details/smithsonianyeara1981smit
annualreportofbo1937smit,Annual report of the Board of Regents of the Smithsonian Institution,1937,766,https://library.si.edu/digital-library/book/annualreportofbo1937smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1937smit,https://archive.org/details/annualreportofbo1937smit
annualreportofbo18551856smit,Annual report of the Board of Regents of the Smithsonian Institution,1855-1856,928,https://library.si.edu/digital-library/book/annualreportofbo18551856smit,http://www.biodiversitylibrary.org/ia/annualreportofbo18551856smit,https://archive.org/details/annualreportofbo18551856smit
annualreportofbo1881smit,Annual report of the Board of Regents of the Smithsonian Institution,1881,876,https://library.si.edu/digital-library/book/annualreportofbo1881smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1881smit,https://archive.org/details/annualreportofbo1881smit
annualreportofbo1872smith,Annual report of the Board of Regents of the Smithsonian Institution,1872,476,https://library.si.edu/digital-library/book/annualreportofbo1872smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1872smith,https://archive.org/details/annualreportofbo1872smith
annualreportofbo1900smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1900,1074,https://library.si.edu/digital-library/book/annualreportofbo1900smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1900smitfo,https://archive.org/details/annualreportofbo1900smitfo
annualreportofbo1888smiths,Annual report of the Board of Regents of the Smithsonian Institution,1888 [Includes Report USNM],1304,https://library.si.edu/digital-library/book/annualreportofbo1888smiths,http://www.biodiversitylibrary.org/ia/annualreportofbo1888smiths,https://archive.org/details/annualreportofbo1888smiths
annualreportofbo1879smit,Annual report of the Board of Regents of the Smithsonian Institution,1879,644,https://library.si.edu/digital-library/book/annualreportofbo1879smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1879smit,https://archive.org/details/annualreportofbo1879smit
annualreportofbo1904smithso,Annual report of the Board of Regents of the Smithsonian Institution,1904,1062,https://library.si.edu/digital-library/book/annualreportofbo1904smithso,http://www.biodiversitylibrary.org/ia/annualreportofbo1904smithso,https://archive.org/details/annualreportofbo1904smithso
annualreportofbo1903smit,Annual report of the Board of Regents of the Smithsonian Institution,1903 [Includes Report USNM],818,https://library.si.edu/digital-library/book/annualreportofbo1903smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1903smit,https://archive.org/details/annualreportofbo1903smit
annualreportofbo1906smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1906,674,https://library.si.edu/digital-library/book/annualreportofbo1906smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1906smitfo,https://archive.org/details/annualreportofbo1906smitfo
annualreportofbo1861smit,Annual report of the Board of Regents of the Smithsonian Institution,1861,480,https://library.si.edu/digital-library/book/annualreportofbo1861smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1861smit,https://archive.org/details/annualreportofbo1861smit
annualreportofbo1955smit,Annual report of the Board of Regents of the Smithsonian Institution,1955,634,https://library.si.edu/digital-library/book/annualreportofbo1955smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1955smit,https://archive.org/details/annualreportofbo1955smit
annualreportofbo18531854smit,Annual report of the Board of Regents of the Smithsonian Institution,1853-1854,770,https://library.si.edu/digital-library/book/annualreportofbo18531854smit,http://www.biodiversitylibrary.org/ia/annualreportofbo18531854smit,https://archive.org/details/annualreportofbo18531854smit
annualreportofbo18471849smit,Annual report of the Board of Regents of the Smithsonian Institution,1847-1849,552,https://library.si.edu/digital-library/book/annualreportofbo18471849smit,http://www.biodiversitylibrary.org/ia/annualreportofbo18471849smit,https://archive.org/details/annualreportofbo18471849smit
annualreportofbo1933smit,Annual report of the Board of Regents of the Smithsonian Institution,1933,576,https://library.si.edu/digital-library/book/annualreportofbo1933smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1933smit,https://archive.org/details/annualreportofbo1933smit
annualreportofbo1911smits,Annual report of the Board of Regents of the Smithsonian Institution,1911,834,https://library.si.edu/digital-library/book/annualreportofbo1911smits,http://www.biodiversitylibrary.org/ia/annualreportofbo1911smits,https://archive.org/details/annualreportofbo1911smits
annualreportofbo1899smit,Annual report of the Board of Regents of the Smithsonian Institution,1899 [Includes Report USNM],884,https://library.si.edu/digital-library/book/annualreportofbo1899smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1899smit,https://archive.org/details/annualreportofbo1899smit
smithsonianyears1992smit,Smithsonian year ... supplement : chronology and appendices,1992,248,https://library.si.edu/digital-library/book/smithsonianyears1992smit,http://www.biodiversitylibrary.org/ia/smithsonianyears1992smit,https://archive.org/details/smithsonianyears1992smit
statementbysecre1983smit,Statement by the Secretary,1983,86,https://library.si.edu/digital-library/book/statementbysecre1983smit,http://www.biodiversitylibrary.org/ia/statementbysecre1983smit,https://archive.org/details/statementbysecre1983smit
smithsonianyeara1999smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1999,126,https://library.si.edu/digital-library/book/smithsonianyeara1999smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1999smit,https://archive.org/details/smithsonianyeara1999smit
annualreportofbo1907smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1907,924,https://library.si.edu/digital-library/book/annualreportofbo1907smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1907smitfo,https://archive.org/details/annualreportofbo1907smitfo
annualreportofbo1961smit,Annual report of the Board of Regents of the Smithsonian Institution,1961,692,https://library.si.edu/digital-library/book/annualreportofbo1961smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1961smit,https://archive.org/details/annualreportofbo1961smit
annualreportofbo1861smith,Annual report of the Board of Regents of the Smithsonian Institution,1861,486,https://library.si.edu/digital-library/book/annualreportofbo1861smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1861smith,https://archive.org/details/annualreportofbo1861smith
annualreportofbo1949smit,Annual report of the Board of Regents of the Smithsonian Institution,1949,532,https://library.si.edu/digital-library/book/annualreportofbo1949smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1949smit,https://archive.org/details/annualreportofbo1949smit
annualreportofbo1899smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1899,938,https://library.si.edu/digital-library/book/annualreportofbo1899smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1899smitfo,https://archive.org/details/annualreportofbo1899smitfo
annualreportofbo1950smit,Annual report of the Board of Regents of the Smithsonian Institution,1950,634,https://library.si.edu/digital-library/book/annualreportofbo1950smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1950smit,https://archive.org/details/annualreportofbo1950smit
smithsonianyeara1978smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1978,544,https://library.si.edu/digital-library/book/smithsonianyeara1978smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1978smit,https://archive.org/details/smithsonianyeara1978smit
