,Archive ID,Title,Volume,Image Count,SI Libraries URL,BHL URL,Internet Archive URL,BHL Link URL
77,annualreportofbo1951smit,Annual report of the Board of Regents of the Smithsonian Institution,1951,546,https://library.si.edu/digital-library/book/annualreportofbo1951smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1951smit,https://archive.org/details/annualreportofbo1951smit,https://www.biodiversitylibrary.org/itempdf/33482
78,smithsonianyeara1979smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1979,608,https://library.si.edu/digital-library/book/smithsonianyeara1979smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1979smit,https://archive.org/details/smithsonianyeara1979smit,https://www.biodiversitylibrary.org/itempdf/83475
79,annualreportofbo1865smit,Annual report of the Board of Regents of the Smithsonian Institution,1865,514,https://library.si.edu/digital-library/book/annualreportofbo1865smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1865smit,https://archive.org/details/annualreportofbo1865smit,https://www.biodiversitylibrary.org/itempdf/35801
80,annualreportofbo1901smithso,Annual report of the Board of Regents of the Smithsonian Institution,1901 [Includes Report USNM],910,https://library.si.edu/digital-library/book/annualreportofbo1901smithso,http://www.biodiversitylibrary.org/ia/annualreportofbo1901smithso,https://archive.org/details/annualreportofbo1901smithso,https://www.biodiversitylibrary.org/itempdf/35810
81,smithsonianyeara1981smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1981,608,https://library.si.edu/digital-library/book/smithsonianyeara1981smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1981smit,https://archive.org/details/smithsonianyeara1981smit,https://www.biodiversitylibrary.org/itempdf/83477
82,annualreportofbo1937smit,Annual report of the Board of Regents of the Smithsonian Institution,1937,766,https://library.si.edu/digital-library/book/annualreportofbo1937smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1937smit,https://archive.org/details/annualreportofbo1937smit,https://www.biodiversitylibrary.org/itempdf/53290
83,annualreportofbo18551856smit,Annual report of the Board of Regents of the Smithsonian Institution,1855-1856,928,https://library.si.edu/digital-library/book/annualreportofbo18551856smit,http://www.biodiversitylibrary.org/ia/annualreportofbo18551856smit,https://archive.org/details/annualreportofbo18551856smit,https://www.biodiversitylibrary.org/itempdf/35809
84,annualreportofbo1881smit,Annual report of the Board of Regents of the Smithsonian Institution,1881,876,https://library.si.edu/digital-library/book/annualreportofbo1881smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1881smit,https://archive.org/details/annualreportofbo1881smit,https://www.biodiversitylibrary.org/itempdf/35781
85,annualreportofbo1872smith,Annual report of the Board of Regents of the Smithsonian Institution,1872,476,https://library.si.edu/digital-library/book/annualreportofbo1872smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1872smith,https://archive.org/details/annualreportofbo1872smith,https://www.biodiversitylibrary.org/itempdf/34977
86,annualreportofbo1900smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1900,1074,https://library.si.edu/digital-library/book/annualreportofbo1900smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1900smitfo,https://archive.org/details/annualreportofbo1900smitfo,https://www.biodiversitylibrary.org/itempdf/53390
